Date Received,Incident Date,Processing Time (Days),Airport Code,Airport Name,Airline Name,Claim Type,Claim Site,Item Category,Close Amount,Disposition
01/08/2014,12/20/2013,19,SAV,Savannah International,Delta Air Lines  ,Property Damage,Checked Baggage,"""Home Decor; Other""",210,Settle
01/13/2014,12/26/2013,18,ORF,Norfolk International,-,Passenger Property Loss,Checked Baggage,"""Cameras""",0,Deny
01/07/2014,12/20/2013,18,IAD,Washington Dulles International,UAL  ,Property Damage,Checked Baggage,"""Household Items""",23.77,Approve in Full
01/06/2014,09/05/2013,123,SLC,Salt Lake City International Airport,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,"""Other""",0,Deny
01/07/2014,12/07/2013,31,MCO,Orlando International Airport,Jet Blue,Passenger Property Loss,Checked Baggage,"""Travel Accessories""",12.99,Approve in Full
01/06/2014,12/29/2013,8,SAT,San Antonio International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,"""Computer & Accessories; Jewelry & Watches""",0,Deny
01/08/2014,12/29/2013,10,PHL,Philadelphia International Airport,Lufthansa  ,Passenger Property Loss,Checked Baggage,"""Personal Electronics""",0,Deny
01/06/2014,11/13/2012,419,LAX,Los Angeles International Airport ,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,"""Cosmetics & Grooming""",78.61,Approve in Full
01/07/2014,11/30/2013,38,SMF,Sacramento International Airport,Southwest Airlines  ,Property Damage,Checked Baggage,"""Other""",30,Settle
01/07/2014,12/30/2013,8,BOS,Boston (Logan) International Airport ,Jet Blue,Passenger Property Loss,Checked Baggage,"""Clothing""",23.09,Approve in Full
01/07/2014,12/16/2013,22,TPA,Tampa International,USAir  ,Property Damage,Checked Baggage,"""Baggage/Cases/Purses""",0,Deny
01/08/2014,12/12/2013,27,RIC,Richmond International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,"""Cosmetics & Grooming""",0,Deny
01/08/2014,01/03/2014,5,SNA,John Wayne,Southwest Airlines  ,Property Damage,Checked Baggage,"""Other""",0,Deny
01/08/2014,12/29/2013,10,STL,Lambert St. Louis International,Southwest Airlines  ,Property Damage,Checked Baggage,"""Clothing""",120.27,Approve in Full
01/08/2014,12/21/2013,18,IAD,Washington Dulles International,KLM Royal Dutch Airlines,Property Damage,Checked Baggage,"""Other""",350,Approve in Full
01/06/2014,01/05/2014,1,PHL,Philadelphia International Airport,USAir  ,Property Damage,Checked Baggage,"""Baggage/Cases/Purses""",102,Approve in Full
01/06/2014,12/13/2013,24,CLT,Charlotte/Douglas International Airport,USAir  ,Passenger Property Loss,Checked Baggage,"""Personal Electronics""",250,Approve in Full
01/07/2014,01/03/2014,4,SNA,John Wayne,Southwest Airlines  ,Property Damage,Checked Baggage,"""Other""",30,Approve in Full
01/09/2014,01/06/2014,3,IAD,Washington Dulles International,American Airlines  ,Passenger Property Loss,Checked Baggage,"""Outdoor Items""",20,Approve in Full
01/08/2014,01/03/2014,5,TUS,Tucson International,UAL  ,Passenger Property Loss,Checked Baggage,"""Sporting Equipment & Supplies""",0,Deny
